from,to
568ae60bec4a89c4b000002e,56827788ec4a89a0b3000023
568be8d0ec4a89c4b0000030,56827788ec4a89a0b3000023
568c5e75ec4a89c4b0000036,568c03d8ec4a89a0b3000034
568d44daec4a89c4b000003c,568d440dec4a89c4b000003b
568d47a5ec4a89c4b000003d,568d440dec4a89c4b000003b
568e9855ec4a89a0b300003a,568425baec4a89c4b000001d
569042dbec4a89a0b3000046,568d440dec4a89c4b000003b
5690443aec4a89c4b000004c,568d440dec4a89c4b000003b
5691b4aeec4a891e53000045,568c03d8ec4a89a0b3000034
5692aab2ec4a891e5300004f,568c03d8ec4a89a0b3000034
5692e107ec4a8987d9000067,568c03d8ec4a89a0b3000034
5692f7c5ec4a891e53000051,568c03d8ec4a89a0b3000034
5693f5b3ec4a89a0b3000051,568d440dec4a89c4b000003b
56948fc6ec4a89c4b000006f,568c03d8ec4a89a0b3000034
569503f9ec4a89c4b0000070,568d440dec4a89c4b000003b
5695196bec4a891e53000060,568c03d8ec4a89a0b3000034
56952729ec4a891e53000061,5695247bec4a89c4b0000072
569533f1ec4a8987d9000077,5693f16eec4a89c4b0000064
56956e81ec4a891e53000064,56956cd1ec4a8987d9000079
56965020ec4a89a0b3000062,5693f16eec4a89c4b0000064
56967171ec4a891e53000067,56964f7bec4a89c4b0000076
56967813ec4a8987d900007c,56964f7bec4a89c4b0000076
5696ae88ec4a89a0b3000063,56964f7bec4a89c4b0000076
5696b35eec4a8987d900007f,56964f7bec4a89c4b0000076
569d7299ec4a8987d900009b,569d5f64ec4a89a0b300007c
56a05063ec4a89a0b300008b,56827788ec4a89a0b3000023
56a0f1e0ec4a8987d90000b0,569ed3f3ec4a89c4b000009e
56a0f4baec4a891e530000a0,569e2747ec4a89c4b000009a
56a16d4bec4a8987d90000b4,56a16a7eec4a8987d90000b3
56a2a11eec4a89a0b300009a,56a26f02ec4a89c4b00000b7
56a3d5a9ec4a891e530000a9,56a3c645ec4a89c4b00000ba
56a4f329ec4a8987d90000b9,56827788ec4a89a0b3000023
56a4f37dec4a891e530000ae,569ed3f3ec4a89c4b000009e
56a4f574ec4a89c4b00000bd,569e2747ec4a89c4b000009a
56a6ebedec4a891e530000bc,56a4db00ec4a8987d90000b8
56a81dbdec4a89a0b30000b0,56a58fceec4a8987d90000bf
56a82485ec4a89c4b00000d2,56a4db00ec4a8987d90000b8
56aac604ec4a89c4b00000e3,5697a266ec4a891e53000073
56ad613cec4a8987d90000dd,5697a266ec4a891e53000073
56ad69c5ec4a891e530000d1,56accba7ec4a8987d90000db
56aeb7bcec4a891e530000d6,56ae3c1eec4a8987d90000e2
56afbb1cec4a8987d90000e5,56af87e7ec4a8987d90000e4
56afc49bec4a891e530000dc,56af87e7ec4a8987d90000e4
56afdadbec4a89c4b00000f9,56af87e7ec4a8987d90000e4
56b13359ec4a89a0b30000ce,56b1331fec4a89a0b30000cd
56b18187ec4a891e530000e8,56b16f46ec4a891e530000e4
56b18376ec4a89a0b30000d9,56b17a10ec4a89a0b30000d8
56b183d8ec4a89a0b30000da,56b1796cec4a891e530000e7
56b2050cec4a891e530000e9,56a59156ec4a89a0b30000a6
56b22909ec4a89a0b30000dc,56a59156ec4a89a0b30000a6
56b236b8ec4a891e530000eb,56b2301aec4a891e530000ea
56bcca9bec4a891e53000123,56ba7f12ec4a89a0b30000e9
56bcd84aec4a8987d9000143,56bcd4d8ec4a8987d9000141
56bd3d4aec4a89c4b000015b,56bcd4d8ec4a8987d9000141
571ae7e2ec4a8916fc000013,571ad133ec4a8916fc000011
571b9348ec4a899420000032,571a80cfec4a8916fc00000b
571bf9f5ec4a899420000043,571bf513ec4a8916fc00001d
571d79b9ec4a899420000053,571d7996ec4a8916fc000038
571e881eec4a891a75000052,571ace7aec4a89942000001f
571e88f6ec4a899420000068,571ad279ec4a8916fc000012
571ef6ddec4a899420000078,571e8c01ec4a891a75000053
571efa64ec4a891a7500006a,571ef75dec4a899420000079
571f79ffec4a891e17000063,571ef9faec4a891e1700005d
571f80d1ec4a899420000081,571a80cfec4a8916fc00000b
571f8b1fec4a891a75000075,571ef9eaec4a891a75000069
5720c48cec4a891a75000087,5720c456ec4a8916fc000068
572678c3ec4a8916fc00009f,5722bdb0ec4a8994200000bb
57287a5bec4a891e170000be,5727b3b8ec4a891a750000d8
57292f8bec4a8916fc0000c4,57292848ec4a89942000010b
57294f73ec4a89942000010d,57292f34ec4a891a75000107
5729e496ec4a899420000118,57297283ec4a89942000010f
572a15e8ec4a891e170000cd,57297283ec4a89942000010f
572a1b31ec4a891a75000111,57292848ec4a89942000010b
572a269cec4a89942000011f,57292848ec4a89942000010b
572a3212ec4a899420000123,572a30d2ec4a899420000122
572a42a7ec4a891a75000114,572a30d2ec4a899420000122
572a443cec4a891e170000cf,5728d094ec4a8916fc0000c0
572b5d53ec4a89942000013e,572a8518ec4a89942000012d
572b6224ec4a891a7500011c,572a8518ec4a89942000012d
572b64a4ec4a899420000140,572b5e85ec4a89942000013f
572b6626ec4a891e170000dc,572a8518ec4a89942000012d
572b68deec4a891a7500011d,57292848ec4a89942000010b
572b6a98ec4a899420000141,572a8518ec4a89942000012d
572b6cbeec4a891e170000dd,572a8518ec4a89942000012d
