from,prop,to
http://example.org/tic-absa/scheme/courseBase,skos:hasTopConcept,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseBase,skos:hasTopConcept,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG%2B2016
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG%2B2016,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed2%2B2017_ENE
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed2%2B2017_ENE,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed3%2B2017-FEB
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed3%2B2017-FEB,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed4%2BABR_2017
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed4%2BABR_2017,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed5%2B2017_JUN
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed5%2B2017_JUN,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed6%2B2017_OCT
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed6%2B2017_OCT,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed7%2B2017_DIC
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed7%2B2017_DIC,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed8%2B2018_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed8%2B2018_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG9%2B2018_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG9%2B2018_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG10%2B2018_3
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG10%2B2018_3,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG11%2B2019_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG11%2B2019_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG12%2B2019_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG12%2B2019_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG13%2B2020_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG13%2B2020_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG14%2B2020_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG14%2B2020_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG15%2B2021_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG15%2B2021_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG16%2B2021_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG16%2B2021_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG17%2B2022_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG17%2B2022_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG18%2B2022_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG18%2B2022_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG19%2B2023_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG19%2B2023_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG20%2B2023_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG20%2B2023_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG21%2B2024_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG21%2B2024_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG22%2B2024_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG22%2B2024_2,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG23%2B2025_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG23%2B2025_1,skos:broader,http://example.org/tic-absa/courseBase/HG
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND%2B2018_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND%2B2018_1,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND2%2B2018_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND2%2B2018_2,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND3%2B2018_3
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND3%2B2018_3,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND4%2B2019_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND4%2B2019_1,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND5%2B2020_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND5%2B2020_1,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND6%2B2020_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND6%2B2020_2,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND7%2B2021_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND7%2B2021_1,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND6%2B2021_2
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND6%2B2021_2,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/courseEdition,skos:hasTopConcept,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND7%2B2022_1
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND7%2B2022_1,skos:broader,http://example.org/tic-absa/courseBase/EVOLFUND
http://example.org/tic-absa/scheme/thread,skos:hasTopConcept,http://example.org/tic-absa/thread/583d33daec4a896c9b0005b3
http://example.org/tic-absa/thread/583d33daec4a896c9b0005b3,skos:broader,http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG%2B2016
http://example.org/tic-absa/scheme/thread,skos:hasTopConcept,http://example.org/tic-absa/thread/583cf5b0ec4a89c761000548
