id,type,prefLabel,definition,inScheme,note
http://example.org/tic-absa/scheme/courseBase,skos:ConceptScheme,Course Base,"Agrupa los cursos base (p.ej., EVOLFUND, HG).",,
http://example.org/tic-absa/scheme/courseEdition,skos:ConceptScheme,Course Edition,Agrupa ediciones de cursos (course_id).,,
http://example.org/tic-absa/scheme/thread,skos:ConceptScheme,Thread,Agrupa hilos de discusión.,,
http://example.org/tic-absa/scheme/comment,skos:ConceptScheme,Comment,Agrupa comentarios en foros.,,
http://example.org/tic-absa/scheme/aspect,skos:ConceptScheme,Aspectos,Esquema de conceptos para tópicos (aspectos) de anotación.,,
http://example.org/tic-absa/scheme/polarity,skos:ConceptScheme,Polaridad,Esquema de conceptos para polaridades de anotación.,,
http://example.org/tic-absa/courseBase/HG,skos:Concept,HG,,http://example.org/tic-absa/scheme/courseBase,
http://example.org/tic-absa/courseBase/EVOLFUND,skos:Concept,EVOLFUND,,http://example.org/tic-absa/scheme/courseBase,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG%2B2016,skos:Concept,course-v1:UTPL+HG+2016,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed2%2B2017_ENE,skos:Concept,course-v1:UTPL+HG-Ed2+2017_ENE,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed3%2B2017-FEB,skos:Concept,course-v1:UTPL+HG-Ed3+2017-FEB,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed4%2BABR_2017,skos:Concept,course-v1:UTPL+HG-Ed4+ABR_2017,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed5%2B2017_JUN,skos:Concept,course-v1:UTPL+HG-Ed5+2017_JUN,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed6%2B2017_OCT,skos:Concept,course-v1:UTPL+HG-Ed6+2017_OCT,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed7%2B2017_DIC,skos:Concept,course-v1:UTPL+HG-Ed7+2017_DIC,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG-Ed8%2B2018_1,skos:Concept,course-v1:UTPL+HG-Ed8+2018_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG9%2B2018_2,skos:Concept,course-v1:UTPL+HG9+2018_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG10%2B2018_3,skos:Concept,course-v1:UTPL+HG10+2018_3,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG11%2B2019_1,skos:Concept,course-v1:UTPL+HG11+2019_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG12%2B2019_2,skos:Concept,course-v1:UTPL+HG12+2019_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG13%2B2020_1,skos:Concept,course-v1:UTPL+HG13+2020_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG14%2B2020_2,skos:Concept,course-v1:UTPL+HG14+2020_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG15%2B2021_1,skos:Concept,course-v1:UTPL+HG15+2021_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG16%2B2021_2,skos:Concept,course-v1:UTPL+HG16+2021_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG17%2B2022_1,skos:Concept,course-v1:UTPL+HG17+2022_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG18%2B2022_2,skos:Concept,course-v1:UTPL+HG18+2022_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG19%2B2023_1,skos:Concept,course-v1:UTPL+HG19+2023_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG20%2B2023_2,skos:Concept,course-v1:UTPL+HG20+2023_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG21%2B2024_1,skos:Concept,course-v1:UTPL+HG21+2024_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG22%2B2024_2,skos:Concept,course-v1:UTPL+HG22+2024_2,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BHG23%2B2025_1,skos:Concept,course-v1:UTPL+HG23+2025_1,,http://example.org/tic-absa/scheme/courseEdition,
http://example.org/tic-absa/courseEdition/course-v1:UTPL%2BEVOLFUND%2B2018_1,skos:Concept,course-v1:UTPL+EVOLFUND+2018_1,,http://example.org/tic-absa/scheme/courseEdition,
