subject,predicate,object
5626b8f6ec4a891e53000001,skos:broader,course-v1:UTPL%2BCEIDNU001%2B2015_OCT_NOV
5626b9e8ec4a89c4b0000001,skos:broader,course-v1:UTPL%2BCEIDNU001%2B2015_OCT_NOV
5626bcd6ec4a8987d9000007,skos:broader,course-v1:UTPL%2BCEIDNU001%2B2015_OCT_NOV
567336baec4a89a0b3000005,skos:broader,course-v1:UTPL%2BEDA%2B2015
567338b8ec4a89c4b0000005,skos:broader,course-v1:UTPL%2BEDA%2B2015
567395b6ec4a891e5300000f,skos:broader,course-v1:UTPL%2BEDA%2B2015
5674817aec4a89a0b3000009,skos:broader,course-v1:UTPL%2BEDA%2B2015
567af494ec4a89a0b3000014,skos:broader,course-v1:UTPL%2BEDA%2B2015
56812af3ec4a8987d900001d,skos:broader,course-v1:UTPL%2BEDA%2B2015
5681e84eec4a891e5300001c,skos:broader,course-v1:UTPL%2BEDA%2B2015
568ae60bec4a89c4b000002e,skos:related,56827788ec4a89a0b3000023
568be8d0ec4a89c4b0000030,skos:related,56827788ec4a89a0b3000023
568c5e75ec4a89c4b0000036,skos:related,568c03d8ec4a89a0b3000034
568d44daec4a89c4b000003c,skos:related,568d440dec4a89c4b000003b
568d47a5ec4a89c4b000003d,skos:related,568d440dec4a89c4b000003b
568e9855ec4a89a0b300003a,skos:related,568425baec4a89c4b000001d
569042dbec4a89a0b3000046,skos:related,568d440dec4a89c4b000003b
5690443aec4a89c4b000004c,skos:related,568d440dec4a89c4b000003b
5691b4aeec4a891e53000045,skos:related,568c03d8ec4a89a0b3000034
5692aab2ec4a891e5300004f,skos:related,568c03d8ec4a89a0b3000034
5626b8f6ec4a891e53000001,schema:about,course-v1:UTPL%2BCEIDNU001%2B2015_OCT_NOV
5626b9e8ec4a89c4b0000001,schema:about,course-v1:UTPL%2BCEIDNU001%2B2015_OCT_NOV
5626bcd6ec4a8987d9000007,schema:about,course-v1:UTPL%2BCEIDNU001%2B2015_OCT_NOV
567336baec4a89a0b3000005,schema:about,course-v1:UTPL%2BEDA%2B2015
567338b8ec4a89c4b0000005,schema:about,course-v1:UTPL%2BEDA%2B2015
567395b6ec4a891e5300000f,schema:about,course-v1:UTPL%2BEDA%2B2015
5674817aec4a89a0b3000009,schema:about,course-v1:UTPL%2BEDA%2B2015
567af494ec4a89a0b3000014,schema:about,course-v1:UTPL%2BEDA%2B2015
56812af3ec4a8987d900001d,schema:about,course-v1:UTPL%2BEDA%2B2015
5681e84eec4a891e5300001c,schema:about,course-v1:UTPL%2BEDA%2B2015
5626b8f6ec4a891e53000001,prov:wasAttributedTo,miloaiza
5626b9e8ec4a89c4b0000001,prov:wasAttributedTo,miloaiza
5626bcd6ec4a8987d9000007,prov:wasAttributedTo,miloaiza
567336baec4a89a0b3000005,prov:wasAttributedTo,dhduncan
567338b8ec4a89c4b0000005,prov:wasAttributedTo,dhduncan
567395b6ec4a891e5300000f,prov:wasAttributedTo,MayPlatt
5674817aec4a89a0b3000009,prov:wasAttributedTo,estudiante
567af494ec4a89a0b3000014,prov:wasAttributedTo,dhduncan
56812af3ec4a8987d900001d,prov:wasAttributedTo,dhduncan
5681e84eec4a891e5300001c,prov:wasAttributedTo,LuisArturo
56827992ec4a89a0b3000024,absa:hasAspect,contenido
568c5e75ec4a89c4b0000036,absa:hasAspect,contenido
56927c37ec4a891e5300004a,absa:hasAspect,contenido
569345f5ec4a89a0b300004e,absa:hasAspect,contenido
5693f16eec4a89c4b0000064,absa:hasAspect,contenido
569533f1ec4a8987d9000077,absa:hasAspect,contenido
569d748cec4a8987d900009c,absa:hasAspect,contenido
569ed22bec4a89a0b3000082,absa:hasAspect,contenido
56a16817ec4a8987d90000b2,absa:hasAspect,contenido
56a16a7eec4a8987d90000b3,absa:hasAspect,contenido
5626b8f6ec4a891e53000001,skos:broader,55edcc73ec4a898fd1000002
5626b9e8ec4a89c4b0000001,skos:broader,5626b9c4ec4a89a0b3000002
5626bcd6ec4a8987d9000007,skos:broader,5626ba90ec4a8987d9000005
567336baec4a89a0b3000005,skos:broader,56733403ec4a891e53000008
567338b8ec4a89c4b0000005,skos:broader,56733403ec4a891e53000008
567395b6ec4a891e5300000f,skos:broader,56733403ec4a891e53000008
5674817aec4a89a0b3000009,skos:broader,56739225ec4a89c4b0000008
567af494ec4a89a0b3000014,skos:broader,56797abfec4a8987d9000018
56812af3ec4a8987d900001d,skos:broader,56808352ec4a891e53000018
5681e84eec4a891e5300001c,skos:broader,567884f1ec4a89a0b3000012
